time-step;RES1;RES2
01.01.2023 00:00;-0.0031773793633779455;-0.002465090241826102
01.01.2023 00:15;-0.006416586999770432;-0.005574949354612455
01.01.2023 00:30;-0.0009743398419505789;-0.00010563529676703662
01.01.2023 00:45;-0.0005850539061129454;0.01668540568757369
01.01.2023 01:00;-0.005037583534742988;-0.004210798179587885
01.01.2023 01:15;-0.005339190695120565;-0.0044406101230377555
01.01.2023 01:30;0.00014955214100238474;0.005507836629905328
01.01.2023 01:45;0.018492865911724422;0.019025136955350765
01.01.2023 02:00;0.01843846361632937;0.018964155119211023
01.01.2023 02:15;0.017414964220396432;0.02426783221251437
01.01.2023 02:30;0.018270676610985186;0.018793329575056736
01.01.2023 02:45;-0.0028734450979341014;-0.0019820047976377257
01.01.2023 03:00;0.003219923490929686;-0.0009926672835707275
01.01.2023 03:15;-0.0012962759043789775;-0.0022925171347459626
01.01.2023 03:30;-0.0009583990595524946;-4.863955815816604e-06
01.01.2023 03:45;0.016557443843183098;0.00046413714610650113
01.01.2023 04:00;-0.003123739942832186;0.015254026101000422
01.01.2023 04:15;0.019884435495894574;0.02034675069903836
01.01.2023 04:30;0.01859387681216979;0.01913847724846443
01.01.2023 04:45;0.019698323614107983;0.020162453386253693
01.01.2023 05:00;0.01789698135751196;0.022870943050350638
01.01.2023 05:15;0.019398039331406162;0.019877132997179574
01.01.2023 05:30;-0.005879987917687113;-0.004929855321657215
01.01.2023 05:45;-0.00171747242848658;0.01633910302618109
01.01.2023 06:00;-0.0011445398128849683;-0.00011085934427599789
01.01.2023 06:15;0.01464635422077263;0.015185635822381019
01.01.2023 06:30;-0.0032680234422898784;0.01555421158013452
01.01.2023 06:45;-0.005002188034196243;-0.00446243294392635
01.01.2023 07:00;-0.002206732596293762;0.015866759964092685
01.01.2023 07:15;-0.005412137218671046;-0.00442963330855174
01.01.2023 07:30;0.02018188437636927;0.020596642702213938
01.01.2023 07:45;0.018691308582790073;0.023343230756328322
01.01.2023 08:00;0.01883454156179539;0.023404990268579607
01.01.2023 08:15;0.01700740880989243;0.023867609195765263
01.01.2023 08:30;0.018733223500308305;0.016182475536680552
01.01.2023 08:45;-0.0006428444046521102;-0.011481707966444217
01.01.2023 09:00;0.017806252150273257;-0.007769954342390184
01.01.2023 09:15;0.00016062120984859603;-0.006374466139017084
01.01.2023 09:30;-0.005917148590917085;0.0021624266034780838
01.01.2023 09:45;-0.006344552855623977;-0.007118918836236954
01.01.2023 10:00;-0.004961294674904191;-0.003754587757428365
01.01.2023 10:15;-0.011232165956218777;-0.010649256348101937
01.01.2023 10:30;0.01662976537411168;0.017053743216242753
01.01.2023 10:45;0.013884875007097251;0.024895041137670788
01.01.2023 11:00;0.015120144042416827;0.02343841796827881
01.01.2023 11:15;0.016505841352132965;0.016811861267330565
01.01.2023 11:30;0.015210330343441708;0.023444250390787118
01.01.2023 11:45;-0.009687948377154613;-0.0098579530043705
01.01.2023 12:00;-0.009463652602790333;-0.009212563497004753
01.01.2023 12:15;-0.008382203364383849;0.017855983139222934
01.01.2023 12:30;-0.008456927072822062;0.01785008700551771
01.01.2023 12:45;-0.0009522080140939278;-0.002218936874722871
01.01.2023 13:00;-0.012244686290023333;0.020390772035378864
01.01.2023 13:15;0.01563368508724373;0.024034822946204702
01.01.2023 13:30;0.014944942235473841;0.015252266641307148
01.01.2023 13:45;0.011490709122099289;0.023723581765993557
01.01.2023 14:00;0.015065351996563408;0.015368482410703464
01.01.2023 14:15;0.015203355281986854;0.015579834763407688
01.01.2023 14:30;-0.011658063025747753;0.01670867213489569
01.01.2023 14:45;-0.008525482646357975;0.017634156754126346
01.01.2023 15:00;-0.008352546352984937;0.01811253959085861
01.01.2023 15:15;0.018182530135760575;-0.008583511856494636
01.01.2023 15:30;-0.010290236325176899;-0.010228727796049936
01.01.2023 15:45;0.012257139725434402;-0.009038914855218851
01.01.2023 16:00;-0.006416684055018593;-0.005547976947023435
01.01.2023 16:15;0.016488036010585516;0.02210787132546266
01.01.2023 16:30;-0.0025456035799750307;-0.0015230779656601695
01.01.2023 16:45;0.01635405634487123;0.023906480229930353
01.01.2023 17:00;0.015665170700751765;0.02357976032240103
01.01.2023 17:15;0.016076978346054264;0.02345574330772757
01.01.2023 17:30;0.017908885945767693;0.018459305221809948
01.01.2023 17:45;0.005913892120306817;0.019726832248542353
01.01.2023 18:00;0.015897332215924816;0.0073813758278471015
01.01.2023 18:15;-0.0006282991728921243;0.0004678402128368355
01.01.2023 18:30;-0.00424551573013331;0.014904914597893493
01.01.2023 18:45;0.017928095292691074;0.02290237472191932
01.01.2023 19:00;-0.001652332882205717;0.017598080474830042
01.01.2023 19:15;0.018191960620368628;0.02474740604718693
01.01.2023 19:30;-0.0031947180212507794;0.015478561044617969
01.01.2023 19:45;0.019432298727499075;0.02374853454177065
01.01.2023 20:00;0.018433430705601803;0.023499174509869693
01.01.2023 20:15;0.01790969796718692;0.0242854961590067
01.01.2023 20:30;-0.0019409696128640452;0.01745396105246209
01.01.2023 20:45;0.01649191634391981;0.024007637693538503
01.01.2023 21:00;0.016911327302325373;0.022335570669750143
01.01.2023 21:15;-0.004061054985533758;-0.0030882766621290413
01.01.2023 21:30;0.018113958179192494;0.01955623966489389
01.01.2023 21:45;0.017591450245091768;0.01814411878671154
01.01.2023 22:00;-0.005356023979371518;0.014338027657203144
01.01.2023 22:15;-0.006556222765221549;-0.0055980769944972905
01.01.2023 22:30;0.004732570166262679;0.0059408693516643
01.01.2023 22:45;0.014895529570713665;0.015549021138260672
01.01.2023 23:00;-0.0015544885187970484;0.01604337753652239
01.01.2023 23:15;-0.0014204202006162375;-0.0006721078131103095
01.01.2023 23:30;0.020154504387321602;0.020643789046615856
01.01.2023 23:45;0.034369317712183545;0.034369317712183545
